sigma_dist,L,thermalized,loops_to_thermalize,n_loops,seed
uniform,8,True,222,50397,37.39110874990001
uniform,8,True,85,74016,51.55125308269635
uniform,8,True,131,61176,73.49757187487558
uniform,8,True,246,27762,115.00656616594642
uniform,8,True,55,73661,124.51041091606021
uniform,16,True,249,87312,167.86359383305535
uniform,16,True,458,55324,262.54796570772305
uniform,16,True,168,81570,293.0117172910832
uniform,16,True,35,29745,299.4885979159735
uniform,16,True,13,86515,301.7132852906361
uniform,32,True,917,45019,490.13918841583654
uniform,32,True,115,683,514.2570414156653
uniform,32,True,217,90020,562.8405915000476
uniform,32,True,691,47763,711.3171622906812
uniform,32,True,480,61018,814.7063783328049
uniform,64,True,233,84165,876.9296518750489
uniform,64,True,1025,81024,1156.6151091656648
uniform,64,True,1353,43980,1554.7656701658852
uniform,64,True,998,56072,1856.273559415713
uniform,64,True,345,17449,2012.333809749689
all-up,8,True,19,95618,2088.376287832856
all-up,8,True,23,62698,2168.9831178328022
all-up,8,True,72,60145,2196.7557341656648
all-up,8,True,7,19511,2201.430079415906
all-up,8,True,23,61878,2210.0950083746575
all-up,16,True,111,74181,2253.4158381656744
all-up,16,True,7,10985,2255.9034621249884
all-up,16,True,35,59624,2266.883992999792
all-up,16,True,86,34340,2297.157173624728
all-up,16,True,194,8968
all-up,16,True,29,56646
all-up,16,True,64,14142
all-up,16,True,9,9185
all-up,16,True,81,59878
all-up,32,True,69,37703
all-up,32,True,386,68781
all-up,32,True,7,4481
all-up,32,True,763,21723
all-up,32,True,831,11632
all-up,64,True,281,54909
all-up,64,True,83,8762
all-up,64,True,45,94449
all-up,64,True,737,63796
all-up,64,True,405,43555
