kappa,L,N_meas_sweeps,burn_seed,meas_seed,magnetization,abs_magnetization,magnetization_squared,action,action_squared,susceptibility,binder_cumulant,C_per_Nk
1.1,64,10000,59777,72655,0.9996683406591416,0.9996683406591416,0.9993369631448761,-9005.313861542973,81095730.64780128,0.0007038102512524347,0.6666664375376317,0.012915747869556071
0.85,64,10000,40387,40525,-0.9974488468527795,0.9974488468527795,0.9949056447346287,-6929.038080395509,48011811.99944881,0.00590908083904651,0.6666647346339328,0.059394501400674926
0.69,64,10000,17132,9621,-0.9892040106415749,0.9892040106415749,0.9785320806248871,-5540.5995784511715,30698932.60315797,0.030744393769055023,0.6666564498209694,0.16819199821111397
0.58,64,10000,46930,20025,-0.9674045246362687,0.9674045246362687,0.9359043192840065,-4490.375263289063,20164954.48311528,0.1343692688651572,0.6666200458111061,0.3624213762104773
0.5,64,10000,96770,90118,-0.9116650219082832,0.9116650219082832,0.8313202342594102,-3575.6772463378907,12788405.08884209,0.7664520740027001,0.6663696641244019,0.717118863176438
0.47,64,10000,92565,31512,-0.8483569943189622,0.8483569943189622,0.7204300501103978,-3140.878341984375,9869437.530641343,2.951005390824321,0.6653638668403145,1.0548758532295324
0.45,64,10000,97930,53925,0.7422380168437959,0.7422380168437959,0.555682947033667,-2781.8358568066405,7745700.757656586,19.52019818682811,0.6564932598324161,1.7309627542604176
0.44,64,10000,17770,49979,0.6055525873661042,0.6055525873661042,0.3871823465573834,-2558.400369078125,6554074.033091681,83.92052937359449,0.6165106476028158,2.1146446759264563
0.43,64,10000,10581,76142,0.26610991805791856,0.3620705923676491,0.16060679766358227,-2309.1217771484366,5339757.216564002,367.7892983799404,0.4619404657387538,1.8832604645624542
0.41,64,10000,50022,38440,0.05742218834161759,0.12803090094327926,0.024544820157875076,-1950.3346727343753,3807886.4566052523,87.02981097035725,0.11237161540923213,0.9963674158567528
0.4,64,10000,80588,37907,-0.007725229358673096,0.11425760655403137,0.020424701793387068,-1814.9134999609375,3297856.2392865634,83.41513267094717,0.03920604493906954,0.9631901723885221
0.32,64,10000,80897,23735,-0.002228641176223755,0.03868477914333344,0.0023793285563355315,-1009.9458282812501,1021438.84814604,9.72538558399763,-0.02404654606798018,0.3535820515965895
0.3,64,10000,23784,7077,-0.0029306578636169433,0.033854169702529906,0.0018217008947161958,-865.8902101464846,750936.5852061446,7.426507322173915,-0.0455391362081885,0.28582255337434503
0.28,64,10000,55568,91627,-0.0009004245042800904,0.030032061052322388,0.0014257608671905473,-737.8523434570313,545402.4750579346,5.83659562148921,-0.017581518057150136,0.23837751779825567
0.26,64,10000,15358,98574,0.0005261962056159974,0.026697628128528595,0.0011310132258862723,-623.4977964414064,389514.2800467588,4.6314960627280595,-0.03216888678857632,0.18671334947981677
1.1,32,10000,20152,21899,-0.9996761756896974,0.9996761756896974,0.9993531178601086,-2251.3644553125023,5068654.621339379,0.0006774973746814794,0.666665785815421,0.012412787908942846
0.85,32,10000,76143,86412,-0.9974607357025147,0.9974607357025147,0.9949339320398868,-1732.3128871289068,3000970.579063309,0.006157078205319522,0.666658631946262,0.06117202189489035
0.69,32,10000,81888,89987,-0.9892529165267945,0.9892529165267945,0.978651500780508,-1385.2650150820311,1919133.292594071,0.03089195390873556,0.6666257397768875,0.17004939829212162
0.58,32,10000,85753,69262,-0.9670709625244142,0.9670709625244142,0.9353607101611794,-1122.0238651718748,1259307.28305378,0.13769072976128882,0.6664770085886398,0.36106351420539795
0.5,32,10000,77514,34507,0.9102069860458375,0.9102069860458375,0.8295168530795723,-893.8703138671875,799772.8071121094,1.0650579281151522,0.6651087284456543,0.7506534170752275
0.47,32,10000,78924,90943,-0.8528375263214112,0.8528375263214112,0.7296420005708933,-786.5723196679687,619802.6510374865,2.3655979713224724,0.6626932278681751,1.080700165661483
0.45,32,10000,79126,58844,0.7532609157562257,0.7532609157562257,0.5791528725832701,-696.6421890820313,486865.61629245704,12.03288614641906,0.6457433791012066,1.5188248861839497
0.44,32,10000,94707,27572,0.6103813804626466,0.633711731338501,0.43948722247704863,-642.2936004375001,414395.92652716505,68.52791589024002,0.5995566414098742,1.8113841447246273
0.43,32,10000,76492,65002,0.156839847946167,0.5658207073211671,0.352151352840662,-595.4940936171874,356403.36159211467,335.41387769537045,0.5771871852004623,1.7481895108975323
0.41,32,10000,84094,97491,0.18866085052490236,0.30514568099975586,0.12512352569401264,-492.86766410156247,244115.57430672494,91.67934379339067,0.3671612314983208,1.1689843650335376
0.4,32,10000,98764,75516,-0.001816071128845215,0.19031928997039796,0.05558411531113088,-453.43632812500005,206499.30785750004,56.91475680950872,0.10259930553285679,0.8738322207200611
0.32,32,10000,56156,16136,-0.00931689624786377,0.07745687122344971,0.009498115720972419,-252.63925700000004,64189.7579104,9.637182633245656,-0.0008381499962399896,0.3546520828983688
0.3,32,10000,87246,72327,-0.0018788780212402345,0.06835560951232911,0.007217264392226935,-216.50979281249997,47164.33796653125,7.386863830638833,0.05672168592199023,0.28110115509725375
0.28,32,10000,53413,82013,0.0005056953430175781,0.059922790145874025,0.005538588866591454,-184.38154984375,34234.6716516,5.67125313414298,0.05389788642510296,0.23253489142258843
0.26,32,10000,11070,60379,-0.00027176704406738284,0.05288341293334961,0.004390751671046019,-155.7081905234375,24441.55952675938,4.496054081249053,0.01094302204929165,0.1919130182385409
1.1,16,10000,80674,32819,-0.9997038452148438,0.9997038452148438,0.9994102161884308,-562.8699157812507,316825.5298209377,0.0006241410781342438,0.6666634417842248,0.011670817755657481
0.85,16,10000,11855,52019,-0.9974139343261719,0.9974139343261719,0.9948574582576752,-433.0310855468753,187531.0512054531,0.005862878633507762,0.6666362868622293,0.05910217010887209
0.69,16,10000,5564,46944,-0.9888287139892579,0.9888287139892579,0.9779083052396774,-346.0640339062501,119805.04816744503,0.03227638528713328,0.666497663881747,0.17473673429230985
0.58,16,10000,62343,15948,-0.9675989013671875,0.9675989013671875,0.9367391829490662,-280.65932203125,78860.88853085248,0.12583654965195024,0.6659869879895264,0.3563808117640406
0.5,16,10000,639,80929,-0.9090099273681641,0.9090099273681641,0.8294956530809403,-223.05914375,49947.093700000005,0.8183308869287202,0.6620865840360592,0.7488753496751599
0.47,16,10000,32972,68128,0.25275741271972657,0.8435184356689454,0.7250637172460557,-195.92359928125,38669.90282535874,169.2614163356891,0.6500764352375419,1.1087737110894977
0.45,16,10000,69997,42820,-0.05026872253417969,0.7765462188720703,0.6240749287366867,-175.20820664062504,31027.68825595313,159.11628397349588,0.6360724113834023,1.28817414737955
0.44,16,10000,53842,35848,-0.11878046875,0.6844234680175781,0.5104204969406129,-161.0625493125,26347.178281050008,127.05579447914064,0.5964116772613126,1.5860683203457455
0.43,16,10000,97873,46871,-0.07935521850585937,0.600285107421875,0.41723470182418826,-148.56113335937496,22478.38294344938,105.19998748673935,0.5508592968540764,1.5936429626069781
0.41,16,10000,95671,33514,-0.2509278259277344,0.49042302856445313,0.29719861745834353,-128.09420195312498,16760.137706269372,59.96386397018219,0.48170309044420623,1.375051297896107
0.4,16,10000,74884,61138,-0.05682799987792969,0.4010714996337891,0.21341977512836457,-116.56194500000002,13871.947536,53.80873051090908,0.3943214033313147,1.1142988820975361
0.32,16,10000,28779,64252,-0.0013192138671875,0.14959659423828126,0.0343811318397522,-63.032835,4062.4676006400005,8.801124227718354,0.07150908558660574,0.34894262696396794
0.3,16,10000,62019,74166,0.003283258056640625,0.13854644165039062,0.029504350709915163,-54.094537031250006,2999.0771870625,7.550354157170859,0.08258163579707056,0.28460254077039693
0.28,16,10000,58686,31325,0.010164102172851562,0.1198841522216797,0.02268114173412323,-46.06426387500001,2182.1381885800006,5.7799251868526245,-0.003833453076233173,0.2352413368530062
0.26,16,10000,23417,72933,-0.0025599182128906253,0.10924551391601563,0.018709190464019778,-38.85313006250001,1557.0072287250002,4.787875144387351,0.030288536346185224,0.18531841043538488
1.1,8,10000,88554,74456,0.999621337890625,0.999621337890625,0.9992554702758789,-140.69550000000015,19796.16174250001,0.000809671016689606,0.6666503750353193,0.014656597655744008
0.85,8,10000,68018,34314,-0.99724765625,0.99724765625,0.9946006988525391,-108.22086843750007,11715.879826562501,0.006259901210938779,0.6665407191782902,0.06442908118438595
0.69,8,10000,69534,7475,-0.989046728515625,0.989046728515625,0.9786840194702149,-86.54148618750001,7500.251978932503,0.030117650096279647,0.6660620557660004,0.16911167798824067
0.58,8,10000,34801,87609,-0.9688049316406251,0.9688049316406251,0.9403572738647461,-70.28370762499996,4961.321299489999,0.11355381078718807,0.6643942051890597,0.3362772183362637
0.5,8,10000,28830,37713,-0.900667333984375,0.913938623046875,0.8445218215942383,-55.894759375,3167.2283687500003,2.132491205613853,0.6560348165003749,0.6719412993882798
0.47,8,10000,69997,51056,-0.24059140625,0.86214658203125,0.7666933532714844,-49.44040743750001,2504.6338994725,45.363784224648434,0.6417192532243261,0.9418751857264596
0.45,8,10000,43601,44347,-0.063462060546875,0.818175244140625,0.7008485916137696,-44.8468453125,2077.7827539375003,44.59655414303452,0.6288311856902733,1.0397378039718284
0.44,8,10000,53552,19097,-0.23125971679687501,0.7652748535156251,0.631420100402832,-41.56822174999999,1802.5991213999998,36.988098802551114,0.6074879566884341,1.1669072178566786
0.43,8,10000,35306,48736,-0.09518662109375,0.7214521484375,0.5757033721923829,-38.757281375000005,1579.999483075,36.265144278856816,0.5873143505635735,1.2167597420949647
0.41,8,10000,33138,78645,0.10395107421875001,0.645922265625,0.4819017974853516,-33.7575165625,1214.5020716474996,30.15014218586365,0.5493373645741206,1.1708147996880882
0.4,8,10000,26551,6307,0.0091974609375,0.601188671875,0.4274714782714844,-31.121822499999993,1035.802356,27.352760638962405,0.5281892818538347,1.05053937935147
0.32,8,10000,32908,78157,0.019557128906250002,0.31885439453125003,0.14545127868652344,-16.12121,285.64118784000004,9.284403033309937,0.25315846911007933,0.4023089996234379
0.3,8,10000,75534,64413,0.004672900390625,0.276855224609375,0.11393723297119142,-13.742193750000004,209.44672649999998,7.290585406280366,0.17933823474946586,0.32185683496032524
0.28,8,10000,14422,43713,-0.001618994140625,0.24790502929687502,0.09142309722900391,-11.616479000000002,150.39751104,5.8509104695664975,0.1710513736005782,0.241483229414984
0.26,8,10000,13680,11364,0.002190771484375,0.22005200195312502,0.07439243621826172,-9.738998749999999,107.66826408,4.760808751268158,0.08203858230381877,0.20031511605466346
0.36,8,10000,30286,41167,0.0035309570312500003,0.43923544921875,0.25663651428222656,-22.56288075,555.30577404,16.423938983978882,0.39349392887480317,0.7222216609574899
0.36,16,10000,93702,25400,-0.005063519287109375,0.21984423217773438,0.07172269754409791,-84.6750988125,7306.450598609999,18.354446929030907,0.1791598408134879,0.5335087488412533
0.36,32,10000,73535,96809,-0.009701662826538086,0.11195408592224122,0.019714333091676237,-339.5373114375,115828.25852915998,20.09109588999824,0.026293943527351482,0.5299537802286096
0.36,64,10000,54794,6429,-0.01002557122707367,0.05382819306850434,0.0045279438248951925,-1356.1318564453127,1841300.280762941,18.134760433525003,0.007950050215484339,0.5387374748854654
