L,kappa,lambda,eps_2,eps,acceptance_rate,delta_H_abs_mean,delta_H_abs_std,N_steps,N_trajectories,batch_size,seed
8,0.85,0.1,1e-06,0.001,1.0,7.241692611387407e-07,7.054406170397126e-07,1000,100,100,4806
8,0.85,0.1,1.4649382061914714e-06,0.0012103463166348181,1.0,1.0875081339634108e-06,8.760888280825065e-07,826,100,100,29865
8,0.85,0.1,2.1460439479594814e-06,0.0014649382061914698,1.0,1.564616094702842e-06,1.2481781220912286e-06,683,100,100,11557
8,0.85,0.1,3.1438217715318246e-06,0.0017730825619614629,1.0,2.1929371319743042e-06,1.8328460170756631e-06,564,100,100,58642
8,0.85,0.1,4.605504626573514e-06,0.0021460439479594807,1.0,3.6323825654562826e-06,2.771000174576897e-06,466,100,100,25638
8,0.85,0.1,6.7467796862591274e-06,0.002597456387749201,1.0,4.741837468418453e-06,3.519244993351358e-06,385,100,100,1985
8,0.85,0.1,9.883615331157482e-06,0.0031438217715318217,1.0,6.861925985651851e-06,5.441576844413052e-06,318,100,100,98099
8,0.85,0.1,1.4478885713912363e-05,0.0038051131013298886,1.0,1.1482652056878352e-05,8.873407658752081e-06,263,100,100,79524
8,0.85,0.1,2.1210672865390052e-05,0.004605504626573515,1.0,1.5810867494644755e-05,1.2391247365564161e-05,217,100,100,48352
8,0.85,0.1,3.1072325059538616e-05,0.005574255561017867,1.0,2.249994662774384e-05,1.724678991530428e-05,179,100,100,31051
8,0.85,0.1,4.55190361349187e-05,0.0067467796862591195,1.0,3.317301909261232e-05,2.6262523681625245e-05,148,100,100,90311
8,0.85,0.1,6.668257514305255e-05,0.008165939942410338,1.0,5.1772515575726174e-05,4.019796264934559e-05,122,100,100,40485
8,0.85,0.1,9.768585201429122e-05,0.009883615331157482,0.9997999668121338,7.045295387736133e-05,5.670967908873378e-05,101,100,100,36331
8,0.85,0.1,0.00014310373682010125,0.011962597411101873,1.0,9.992164369317607e-05,7.665184592627469e-05,84,100,100,15163
8,0.85,0.1,0.0002096381315165353,0.014478885713912355,0.9998999834060669,0.0001676599906554543,0.00012999900739195453,69,100,100,94560
8,0.85,0.1,0.0003071069083331647,0.0175244659928103,0.9996999502182007,0.00023531973542783931,0.00017746439723887375,57,100,100,50707
8,0.85,0.1,0.00044989264340259425,0.02121067286539006,0.9997999668121338,0.0003254066339417136,0.0002651119816138108,47,100,100,74814
8,0.85,0.1,0.000659064922004935,0.02567225977597093,0.9997999668121338,0.0004440815640648225,0.0003489067962191747,39,100,100,48347
8,0.85,0.1,0.0009654893846056303,0.031072325059538598,0.9995999932289124,0.0006835083971931625,0.0005414323976017314,32,100,100,12732
8,0.85,0.1,0.0014143822871810778,0.03760827418509227,0.9993999600410461,0.0011045989753427706,0.0008351041533187788,27,100,100,88025
8,0.85,0.1,0.002071982650652037,0.04551903613491873,0.9994999766349792,0.0015084403024828248,0.0012045520557275938,22,100,100,15491
8,0.85,0.1,0.0030353265475060406,0.05509379772266603,0.9990999698638916,0.002160526428576475,0.0016942951111814173,18,100,100,63007
8,0.85,0.1,0.004446565827708846,0.06668257514305252,0.998699963092804,0.003027177337613881,0.002405999321612719,15,100,100,97616
8,0.85,0.1,0.006513944167356084,0.08070900920811805,0.996999979019165,0.004576149528425651,0.003537850382563574,12,100,100,10814
8,0.85,0.1,0.009542525683758019,0.0976858520142913,0.9962999820709229,0.00649576897853749,0.0050443898468226014,10,100,100,8366
8,0.85,0.1,0.013979210457700486,0.11823371117283127,0.9946999549865723,0.010400868171318621,0.00804993231902854,8,100,100,57728
8,0.85,0.1,0.020478679491876803,0.14310373682010125,0.9928999543190002,0.014257304869631497,0.011136460903762172,7,100,100,28504
8,0.85,0.1,0.03,0.17320508075688773,0.9866999983787537,0.02178879885979539,0.016197881326940777,6,100,100,66202
8,0.85,0.1,0.04947368421052632,0.22242680641174148,0.9795999526977539,0.04021337641083349,0.03175084030830709,4,100,100,72419
8,0.85,0.1,0.06894736842105263,0.26257830912139835,0.9672999978065491,0.06656532956921453,0.052471040793966084,4,100,100,22487
8,0.85,0.1,0.08842105263157896,0.29735677667001126,0.9466999769210815,0.10598574635536416,0.08480142592117725,3,100,100,72146
8,0.85,0.1,0.10789473684210528,0.3284733426658932,0.9125999808311462,0.17682081785693532,0.143801424967167,3,100,100,61313
8,0.85,0.1,0.12736842105263158,0.35688712648767756,0.8590999841690063,0.2882865171310436,0.24120774358952365,3,100,100,80532
8,0.85,0.1,0.14684210526315788,0.38319982419510307,0.7579999566078186,0.6541619383249381,1.6360294570036074,3,100,100,20955
8,0.85,0.1,0.16631578947368422,0.4078183290065372,0.6943999528884888,0.7010849291356835,0.5939097653865558,2,100,100,19601
8,0.85,0.1,0.18578947368421053,0.4310330308505492,0.578499972820282,1.089684246619977,0.9380189312007675,2,100,100,8699
8,0.85,0.1,0.20526315789473684,0.45305977298225986,0.4189999997615814,1.9458967010154913,1.8789122434683556,2,100,100,90143
8,0.85,0.1,0.22473684210526315,0.4740641750915831,0.28129997849464417,3.507226919263695,4.394706926655999,2,100,100,7884
8,0.85,0.1,0.2442105263157895,0.4941766144970738,0.14190000295639038,9.764196281777702,10.695328719797008,2,100,100,94221
8,0.85,0.1,0.26368421052631574,0.513501908980206,0.07400000095367432,17.11784952907104,14.425361200808204,2,100,100,53479
8,0.85,0.1,0.28315789473684216,0.5321258260382051,0.03280000016093254,28.972907206253872,21.50178192474112,2,100,100,30735
8,0.85,0.1,0.3026315789473685,0.5501196042201809,0.03150000050663948,41.69106195169479,40.1067778247469,2,100,100,83853
8,0.85,0.1,0.32210526315789473,0.5675431817561504,0.012899999506771564,64.40683414921742,61.14402676067331,2,100,100,68944
8,0.85,0.1,0.3415789473684211,0.5844475574150525,0.005499999970197678,61.71716926252583,61.202756520922875,2,100,100,23828
8,0.85,0.1,0.3610526315789474,0.6008765526952665,0.0011999999405816197,98.32525121529642,100.40160357821937,2,100,100,31701
8,0.85,0.1,0.3805263157894737,0.616868151057804,0.00039999998989515007,116.10809851659765,134.49229980094537,2,100,100,19499
8,0.85,0.1,0.4,0.6324555320336759,0.00019999999494757503,127.59753500555887,137.04254211808143,2,100,100,24182
8,0.85,0.5,1e-06,0.001,1.0,1.614932012812176e-06,1.2522859371973961e-06,1000,100,100,47340
